,,Frames,mota,motp,idf1,IDSW,FP,FN
SORT,0000,151,-23.45267489711934,0.2898013641759504,0.03564608529598982,22,5859,61
SORT,0001,447,-17.242819843342037,0.306967093627819,0.04701106030999222,228,48015,666
SORT,0002,221,-5.525193798449612,0.2902521149906367,0.08560105680317041,18,6111,605
SORT,0003,144,-2.5757575757575757,0.22884183355697865,0.1835372636262514,12,1179,107
SORT,0004,314,-8.12958435207824,0.2591471954713272,0.08798332947441537,56,7207,205
SORT,0005,297,-9.231372549019607,0.25809751798360964,0.08525516035769515,88,12640,317
SORT,0006,267,-16.752727272727274,0.2281691177193229,0.03492946934075425,21,9532,211
SORT,0007,698,-4.628875110717449,0.29146474044627,0.16666666666666666,76,12159,475
SORT,0008,390,-15.636711281070745,0.26729533390564447,0.05908247149297269,43,17061,298
SORT,0009,762,-9.853795033228401,0.3140551496684914,0.07252576875592179,196,29973,862
SORT,0010,294,-8.537313432835822,0.2001443223413489,0.0761904761904762,20,5570,161
SORT,0011,373,-6.338619676945668,0.2933704322298318,0.09985163716661491,135,23513,1340
SORT,0012,78,-3.9861111111111107,0.29977087252752815,0.07560975609756097,2,624,92
SORT,0013,333,-312.6,0.35477352614570395,0.0025432055950523093,1,17219,28
SORT,0014,106,-3.4000000000000004,0.34415537253352496,0.13764850471118395,23,1755,224
SORT,0015,374,-14.667408231368187,0.24043808417509513,0.07588110675996662,8,13928,149
SORT,0016,209,-12.417464114832535,0.42456136962892477,0.040998818964062766,7,10696,514
SORT,0017,145,-2.5789889415481833,0.26848763785600915,0.035721703011422634,0,3407,1124
SORT,0018,322,-3.157311669128508,0.2264727240442638,0.23824530442455566,24,5415,190
SORT,0019,1059,-326.90830636461703,0.2828262884145375,0.003502305957520629,12,303809,150
SORT,0020,837,-15.480443878479171,0.2680193825592061,0.044487033110422444,331,88682,1580
SORT,OVERALL,7821,-21.230483791920467,0.27965636101501246,0.037814282122277484,1323,624354,9359
DeepSORT,0000,152,-3.8806584362139915,0.24243359112060706,0.17453135100193923,33,1107,46
DeepSORT,0001,447,0.0167847817978366,0.22561047306725324,0.16088722274289285,416,1630,590
DeepSORT,0002,227,-0.4903100775193798,0.22194280927503549,0.1824134705332086,58,777,703
DeepSORT,0003,144,0.3608815426997245,0.17679273335840892,0.35561497326203206,28,113,91
DeepSORT,0004,314,0.05378973105134477,0.20137334993070644,0.21725571725571727,174,444,156
DeepSORT,0005,297,0.24235294117647055,0.21131553846031628,0.3153252480705623,171,483,312
DeepSORT,0006,267,-2.267272727272727,0.17424885988500957,0.1537842190016103,61,1560,176
DeepSORT,0007,727,0.2931798051372896,0.19430842818229663,0.17796774820283662,201,1013,382
DeepSORT,0008,390,-0.07839388145315485,0.1777102379491959,0.3789152024446142,124,765,239
DeepSORT,0009,775,-0.11927247289261977,0.24308716974746128,0.18564537348340887,341,1991,868
DeepSORT,0010,294,0.5655058043117744,0.12493403596087124,0.6147607461476075,31,129,102
DeepSORT,0011,373,0.11365638766519826,0.2013968434747658,0.23434535104364326,376,1078,1564
DeepSORT,0012,78,-1.8125,0.2642621473607523,0.10821643286573146,6,305,94
DeepSORT,0013,336,-38.89090909090909,0.39071549559572805,0.009025270758122744,6,2147,41
DeepSORT,0014,106,-0.2373626373626374,0.2570127562184017,0.33866415804327377,44,336,183
DeepSORT,0015,374,-0.899888765294772,0.20597411818198177,0.4117280099812851,40,1538,130
DeepSORT,0016,209,-2.3421052631578947,0.4206816174458006,0.1574185765983112,14,2212,568
DeepSORT,0017,145,-0.731437598736177,0.26577199279520947,0.03954802259887006,0,1069,1123
DeepSORT,0018,323,0.5494830132939439,0.1739322210411584,0.6219644798840159,97,282,231
DeepSORT,0019,1059,-9.647249190938512,0.2169673811545228,0.0789895036470379,100,9579,191
DeepSORT,0020,837,0.17718755684919052,0.19694376433215668,0.23047191011235954,616,2019,1888
DeepSORT,OVERALL,7874,-0.5120072813834629,0.20814243804648508,0.21240276300444694,2937,30577,9678
FairMOT,0000,154,-379.9588477366255,0.3060234919222127,0.001763668430335097,71,92502,0
FairMOT,0001,447,-336.07609101081687,0.29283265142647846,0.001499937227296655,877,902750,74
FairMOT,0002,233,-121.46705426356588,0.3368855907996226,0.008216631649652823,141,126107,138
FairMOT,0003,144,-82.41322314049587,0.30914653884694737,0.005895118712143297,100,30163,16
FairMOT,0004,314,-274.658924205379,0.26900434970353915,0.00223170968367941,343,225121,25
FairMOT,0005,297,-174.8878431372549,0.2916705836476222,0.003199095062612123,393,223814,50
FairMOT,0006,270,-535.2981818181818,0.28973637029391347,0.00047342080346273504,154,294715,95
FairMOT,0007,800,-634.3193091231178,0.2880565771146814,0.0008551673312174315,644,1433853,54
FairMOT,0008,390,-297.31166347992354,0.29068908210737787,0.001256509773030963,293,311608,133
FairMOT,0009,803,-817.7047918852745,0.3057869206914483,0.0006370211628322455,928,2339661,88
FairMOT,0010,294,-178.86898839137646,0.26728555788076797,0.003967129498441485,162,108246,53
FairMOT,0011,373,-165.8431718061674,0.3237952466327402,0.003565596697204858,580,567264,257
FairMOT,0012,78,-119.38888888888889,0.29374664676561446,0.011586300903049924,15,17320,1
FairMOT,0013,340,-6742.0,0.34642759107356436,5.391998274560552e-05,9,370833,23
FairMOT,0014,106,-69.22857142857143,0.31067237007052806,0.007131659032922443,135,31720,99
FairMOT,0015,376,-541.6095661846496,0.32138940736295035,0.0019699400230916205,123,487620,63
FairMOT,0016,209,-345.2882775119617,0.42035529886448836,0.004093750322511843,0,289256,241
FairMOT,0017,145,-76.99052132701422,0.26852659888898645,0.0029486609847719837,0,97616,1120
FairMOT,0018,330,-156.99187592319055,0.2990809995361338,0.005488869791811049,179,213736,6
FairMOT,0019,1059,-6822.167206040993,0.31802389906186534,8.724775992956956e-05,112,6324960,4
FairMOT,0020,837,-510.3620156448972,0.3044892504006461,0.001193562422144519,1050,2809521,386
FairMOT,OVERALL,7999,-604.8818525519848,0.30566424696153616,0.0010220951429042993,6309,17298386,2926
